Date,Time,Open,High,Low,Close,Volume,SMA9,SMA21,SMA220,EMA_Cross,Target_Reached,Predicted_Close,Probability,Confidence,Signal,Daily_Return,Strategy_Return,Cumulative_Returns
2024-10-29,19:00:00,0.96,0.95,0.95,0.96,0.01,0.95,0.86,0.78,0.09,1,0.96,0.93,0.93,0,0.0,0.0,0.9547500592276711
2024-10-29,19:30:00,0.96,0.97,0.96,0.97,0.01,0.96,0.88,0.79,0.08,1,0.96,0.9,0.9,0,0.01041666666666674,0.0,0.9547500592276711
2024-10-29,20:00:00,0.97,0.98,0.98,0.98,0.02,0.96,0.9,0.8,0.06,1,0.98,0.91,0.91,0,0.010309278350515427,0.0,0.9547500592276711
2024-10-29,20:30:00,0.98,0.99,0.97,0.99,0.01,0.98,0.92,0.81,0.06,1,0.99,0.93,0.93,0,0.010204081632652962,0.0,0.9547500592276711
2024-10-29,21:00:00,0.99,1.0,1.0,1.0,0.02,0.99,0.93,0.82,0.05,1,0.99,0.82,0.82,0,0.010101010101010166,0.0,0.9547500592276711
2024-10-29,21:30:00,1.0,0.99,1.0,0.99,0.01,1.0,0.95,0.83,0.05,0,0.99,0.16,0.16,0,-0.010000000000000009,-0.0,0.9547500592276711
2024-10-29,22:00:00,0.99,0.98,0.97,0.97,0.02,1.0,0.96,0.84,0.04,0,0.98,0.03,0.03,0,-0.02020202020202022,-0.0,0.9547500592276711
2024-10-29,22:30:00,0.97,0.97,0.95,0.94,0.02,1.0,0.97,0.85,0.03,0,0.96,0.01,0.01,0,-0.030927835051546393,-0.0,0.9547500592276711
2024-10-29,23:00:00,0.94,0.94,0.93,0.93,0.02,0.99,0.97,0.86,0.02,0,0.93,0.05,0.05,0,-0.010638297872340274,-0.0,0.9547500592276711
2024-10-29,23:30:00,0.93,0.92,0.92,0.92,0.01,0.99,0.98,0.86,0.01,0,0.92,0.05,0.05,0,-0.010752688172043001,-0.0,0.9547500592276711
2024-10-30,00:00:00,0.92,0.92,0.93,0.92,0.0,0.98,0.98,0.87,0.0,0,0.92,0.03,0.03,0,0.0,0.0,0.9547500592276711
2024-10-30,00:30:00,0.92,0.92,0.92,0.92,0.01,0.98,0.99,0.88,-0.01,0,0.92,0.02,0.02,0,0.0,0.0,0.9547500592276711
2024-10-30,01:00:00,0.92,0.91,0.91,0.91,0.01,0.97,0.99,0.88,-0.02,0,0.91,0.11,0.11,0,-0.010869565217391353,-0.0,0.9547500592276711
2024-10-30,01:30:00,0.91,0.94,0.91,0.95,0.02,0.96,0.99,0.89,-0.03,1,0.93,0.3,0.3,0,0.0439560439560438,0.0,0.9547500592276711
2024-10-30,02:00:00,0.95,0.95,0.96,0.95,0.01,0.96,0.99,0.9,-0.03,1,0.95,0.62,0.62,0,0.0,0.0,0.9547500592276711
2024-10-30,02:30:00,0.95,0.96,0.95,0.96,0.02,0.96,1.0,0.9,-0.04,0,0.95,0.17,0.17,0,0.010526315789473717,0.0,0.9547500592276711
2024-10-30,03:00:00,0.96,0.96,0.96,0.95,0.01,0.96,1.0,0.91,-0.04,0,0.96,0.48,0.48,0,-0.01041666666666663,-0.0,0.9547500592276711
2024-10-30,03:30:00,0.95,0.97,0.93,0.96,0.04,0.96,1.0,0.92,-0.04,0,0.94,0.39,0.39,0,0.010526315789473717,0.0,0.9547500592276711
2024-10-30,04:00:00,0.96,0.95,0.92,0.92,0.03,0.96,1.0,0.93,-0.04,0,0.94,0.41,0.41,0,-0.04166666666666663,-0.0,0.9547500592276711
2024-10-30,04:30:00,0.92,0.94,0.91,0.95,0.03,0.96,1.0,0.93,-0.03,1,0.94,0.74,0.74,0,0.032608695652173836,0.0,0.9547500592276711
2024-10-30,05:00:00,0.95,0.95,0.94,0.93,0.02,0.97,1.0,0.94,-0.03,0,0.94,0.19,0.19,0,-0.021052631578947323,-0.0,0.9547500592276711
2024-10-30,05:30:00,0.93,0.93,0.93,0.94,0.01,0.97,1.0,0.95,-0.03,1,0.94,0.74,0.74,0,0.010752688172043001,0.0,0.9547500592276711
2024-10-30,06:00:00,0.94,0.93,0.93,0.94,0.04,0.97,0.99,0.95,-0.03,1,0.93,0.27,0.27,0,0.0,0.0,0.9547500592276711
2024-10-30,06:30:00,0.94,0.95,0.94,0.94,0.03,0.97,0.99,0.96,-0.03,0,0.94,0.1,0.1,0,0.0,0.0,0.9547500592276711
2024-10-30,07:00:00,0.94,0.94,0.92,0.91,0.03,0.96,0.99,0.96,-0.03,0,0.92,0.13,0.13,0,-0.031914893617021156,-0.0,0.9547500592276711
2024-10-30,07:30:00,0.91,0.93,0.9,0.91,0.06,0.96,0.98,0.97,-0.03,0,0.91,0.09,0.09,0,0.0,0.0,0.9547500592276711
2024-10-30,08:00:00,0.91,0.91,0.87,0.88,0.14,0.95,0.98,0.97,-0.03,0,0.89,0.03,0.03,0,-0.03296703296703296,-0.0,0.9547500592276711
2024-10-30,08:30:00,0.88,0.86,0.82,0.84,0.18,0.94,0.97,0.98,-0.03,0,0.84,0.03,0.03,0,-0.045454545454545525,-0.0,0.9547500592276711
2024-10-30,09:00:00,0.84,0.84,0.7,0.8,0.81,0.92,0.96,0.98,-0.04,0,0.8,0.08,0.08,0,-0.04761904761904756,-0.0,0.9547500592276711
2024-10-30,09:30:00,0.8,0.88,0.81,0.88,0.44,0.91,0.96,0.98,-0.05,1,0.87,0.69,0.69,0,0.09999999999999987,0.0,0.9547500592276711
2024-10-30,10:00:00,0.88,0.87,0.81,0.83,0.33,0.9,0.96,0.99,-0.06,0,0.83,0.06,0.06,0,-0.05681818181818188,-0.0,0.9547500592276711
2024-10-30,10:30:00,0.83,0.86,0.78,0.87,0.32,0.89,0.95,0.99,-0.06,1,0.82,0.08,0.08,0,0.048192771084337505,0.0,0.9547500592276711
2024-10-30,11:00:00,0.87,0.86,0.83,0.86,0.26,0.88,0.95,0.99,-0.07,0,0.83,0.04,0.04,0,-0.011494252873563204,-0.0,0.9547500592276711
2024-10-30,11:30:00,0.86,0.86,0.82,0.83,0.2,0.87,0.95,0.99,-0.08,0,0.83,0.01,0.01,0,-0.03488372093023262,-0.0,0.9547500592276711
2024-10-30,12:00:00,0.83,0.84,0.82,0.82,0.16,0.86,0.94,1.0,-0.08,0,0.82,0.03,0.03,0,-0.012048192771084376,-0.0,0.9547500592276711
2024-10-30,12:30:00,0.82,0.82,0.79,0.79,0.16,0.85,0.93,1.0,-0.08,0,0.8,0.07,0.07,0,-0.03658536585365846,-0.0,0.9547500592276711
2024-10-30,13:00:00,0.79,0.78,0.72,0.73,0.32,0.84,0.92,1.0,-0.08,0,0.74,0.02,0.02,0,-0.07594936708860767,-0.0,0.9547500592276711
2024-10-30,13:30:00,0.73,0.77,0.74,0.76,0.19,0.83,0.91,1.0,-0.08,0,0.76,0.02,0.02,0,0.041095890410958846,0.0,0.9547500592276711
2024-10-30,14:00:00,0.76,0.77,0.76,0.77,0.14,0.82,0.9,1.0,-0.08,0,0.77,0.04,0.04,0,0.013157894736842035,0.0,0.9547500592276711
2024-10-30,14:30:00,0.77,0.75,0.72,0.73,0.26,0.8,0.89,1.0,-0.08,0,0.74,0.06,0.06,0,-0.051948051948051965,-0.0,0.9547500592276711
2024-10-30,15:00:00,0.73,0.72,0.66,0.68,0.39,0.78,0.87,1.0,-0.09,0,0.68,0.11,0.11,0,-0.06849315068493145,-0.0,0.9547500592276711
2024-10-30,15:30:00,0.68,0.73,0.61,0.69,0.31,0.76,0.86,1.0,-0.1,0,0.68,0.1,0.1,0,0.014705882352941124,0.0,0.9547500592276711
2024-10-30,16:00:00,0.69,0.68,0.64,0.64,0.06,0.74,0.84,0.99,-0.1,0,0.67,0.24,0.24,0,-0.0724637681159419,-0.0,0.9547500592276711
2024-10-30,17:30:00,0.61,0.6,0.55,0.57,0.08,0.71,0.82,0.99,-0.11,0,0.58,0.13,0.13,0,-0.10937500000000011,-0.0,0.9547500592276711
2024-10-30,18:00:00,0.57,0.55,0.55,0.55,0.02,0.68,0.8,0.99,-0.12,0,0.55,0.26,0.26,0,-0.0350877192982455,-0.0,0.9547500592276711
2024-10-30,18:30:00,0.55,0.54,0.55,0.55,0.01,0.66,0.78,0.98,-0.12,1,0.55,0.85,0.85,0,0.0,0.0,0.9547500592276711
2024-10-30,19:00:00,0.55,0.53,0.54,0.54,0.02,0.63,0.76,0.98,-0.13,1,0.54,0.93,0.93,0,-0.018181818181818188,-0.0,0.9547500592276711
2024-10-30,19:30:00,0.53,0.53,0.51,0.54,0.03,0.6,0.74,0.97,-0.14,1,0.54,0.99,0.99,0,0.0,0.0,0.9547500592276711
2024-10-30,20:00:00,0.54,0.53,0.54,0.55,0.01,0.58,0.73,0.97,-0.15,1,0.55,0.98,0.98,0,0.0185185185185186,0.0,0.9547500592276711
2024-10-30,20:30:00,0.55,0.56,0.56,0.58,0.02,0.57,0.71,0.96,-0.15,1,0.57,0.99,0.99,0,0.05454545454545445,0.0,0.9547500592276711
2024-10-30,21:00:00,0.58,0.55,0.56,0.56,0.01,0.55,0.7,0.96,-0.14,1,0.56,1.0,1.0,0,-0.0344827586206895,-0.0,0.9547500592276711
2024-10-30,21:30:00,0.56,0.53,0.54,0.55,0.01,0.54,0.68,0.95,-0.14,1,0.55,1.0,1.0,0,-0.017857142857142905,-0.0,0.9547500592276711
2024-10-30,22:00:00,0.55,0.53,0.55,0.55,0.01,0.54,0.66,0.95,-0.13,1,0.55,1.0,1.0,0,0.0,0.0,0.9547500592276711
2024-10-30,22:30:00,0.55,0.53,0.54,0.54,0.01,0.54,0.65,0.94,-0.11,1,0.54,1.0,1.0,0,-0.018181818181818188,-0.0,0.9547500592276711
2024-10-30,23:00:00,0.54,0.52,0.53,0.53,0.0,0.54,0.63,0.94,-0.1,1,0.53,1.0,1.0,0,-0.01851851851851849,-0.0,0.9547500592276711
2024-10-30,23:30:00,0.53,0.5,0.52,0.52,0.01,0.53,0.62,0.93,-0.08,1,0.52,1.0,1.0,0,-0.018867924528301883,-0.0,0.9547500592276711
2024-10-31,00:00:00,0.52,0.49,0.52,0.51,0.01,0.53,0.6,0.93,-0.07,1,0.51,1.0,1.0,0,-0.019230769230769273,-0.0,0.9547500592276711
