Date,Time,Open,High,Low,Close,Volume,SMA9,SMA21,SMA220
2024-10-31,05:30:00,20321.25,20327,20292.75,20316,3585,20330.5,20383.8333333333,20556.3492822967
2024-10-31,06:00:00,20316,20343.75,20309,20340.75,3398,20326.25,20379.6785714286,20555.3226190476
2024-10-31,06:30:00,20341,20371,20341,20356.25,6315,20325.9722222222,20375.8214285714,20554.3791469194
2024-10-31,07:00:00,20357.25,20393.5,20340.75,20393,6146,20332.4166666667,20372.8333333333,20553.6179245283
2024-10-31,07:30:00,20393,20413.25,20371,20410.25,7815,20342.3333333333,20371.3333333333,20552.9448356808
2024-10-31,08:00:00,20407.25,20417,20375.75,20382.75,12409,20350.3888888889,20368.8333333333,20552.1495327103
2024-10-31,08:30:00,20381.25,20395.5,20361.25,20365,13688,20355.6111111111,20365.5833333333,20551.2790697674
2024-10-31,09:00:00,20366,20369.25,20150.75,20166,91802,20338.9722222222,20353.1071428571,20549.4953703704
2024-10-31,09:30:00,20166,20201.25,20119,20140,59453,20318.8888888889,20339.6904761905,20547.6082949309
2024-10-31,10:00:00,20140.75,20157,20070.25,20088.25,48800,20293.5833333333,20324.2857142857,20545.501146789
2024-10-31,10:30:00,20087.75,20117.75,20052.75,20097.75,46736,20266.5833333333,20309.4761904762,20543.4566210046
2024-10-31,11:00:00,20097.5,20107,20023.25,20069.25,37691,20234.6944444444,20294.0833333333,20541.3011363636
2024-10-31,11:30:00,20069.25,20105.75,20049.5,20087.25,30663,20200.7222222222,20279.5714285714,20539.9409090909
2024-10-31,12:00:00,20087,20105.5,20068.5,20086.5,14802,20164.75,20265.6428571428,20538.6090909091
2024-10-31,12:30:00,20086.75,20115,20065.5,20069,19354,20129.8888888889,20251.8452380952,20537.2318181818
2024-10-31,13:00:00,20069,20075.25,20025.5,20035.5,26720,20093.2777777778,20237.5833333333,20535.6625
2024-10-31,13:30:00,20036.25,20054,20012.75,20039.5,23816,20079.2222222222,20224.1785714286,20534.1
2024-10-31,14:00:00,20040,20055.75,20009.25,20048,26515,20069,20211.6904761905,20532.5102272727
2024-10-31,14:30:00,20048.5,20101.25,20048,20081.25,26109,20068.2222222222,20200.4166666666,20531.0397727273
2024-10-31,15:00:00,20080.5,20132,20009.25,20013.5,60867,20058.8611111111,20186.0238095238,20529.2943181818
2024-10-31,15:30:00,20013.75,20100,20008.5,20080.5,26834,20060.1111111111,20174.5833333333,20527.8068181818
2024-10-31,16:00:00,20077.5,20100.5,20013.5,20043,10031,20055.1944444444,20161.5833333333,20526.1931818182
2024-10-31,17:30:00,20071,20091,20064,20085.25,2774,20055.0555555556,20149.4166666666,20524.8193181818
2024-10-31,18:00:00,20084.5,20112.5,20078.75,20091.25,2622,20057.5277777778,20136.7976190476,20523.5295454545
2024-10-31,18:30:00,20091,20099.75,20065.5,20087,2071,20063.25,20122.2261904762,20522.2363636364
2024-10-31,19:00:00,20087.5,20088.5,20071.5,20073.75,1611,20067.0555555556,20106.2023809524,20520.8806818182
